numMC,PL,callday
0,-0.000167966,185
1,0.000244489,185
2,0.00767388,366
3,0.00204794,185
4,-0.000414337,185
5,-0.00275255,185
6,-0.0116351,366
7,0.00135631,185
8,-0.00100684,185
9,9.57026e-05,185
10,-0.0017013,185
11,0.00136358,185
12,-0.00447518,185
13,-0.000311547,185
14,-0.00983705,1097
15,0.00755383,1097
16,0.00661973,366
17,-0.00451478,185
18,-0.00329504,366
19,0.00929945,1097
20,-0.000826868,185
21,0.00438992,185
22,0.00294005,185
23,-0.00033169,1097
24,0.00100567,185
25,-0.00682736,1097
26,-0.0143861,1097
27,-0.00144593,185
28,-0.00220061,185
29,-0.0118628,1097
30,-0.00107106,185
31,0.00756784,366
32,0.00539159,366
33,-0.00855456,366
34,0.00447121,185
35,-0.00445631,550
36,0.00696904,366
37,-0.00290701,366
38,-0.00689482,550
39,-0.00292494,185
40,0.00272603,550
41,0.00262853,916
42,-0.00150477,185
43,0.00212123,366
44,0.0149042,1097
45,0.00652953,1097
46,0.00440021,185
47,0.00681299,366
48,0.0014405,185
49,-0.00363779,366
50,0.00321187,185
51,0.00666901,732
52,-0.0123464,1097
53,-0.0103167,366
54,0.0142422,185
55,-0.007386,1097
56,0.0303867,1097
57,-0.000486299,185
58,0.000628434,185
59,-0.000956314,185
60,0.00155304,366
61,0.000400136,916
62,-0.0039974,185
63,0.000827213,550
64,-0.000620684,916
65,-0.00145984,185
66,0.000979955,185
67,-0.00113017,1097
68,0.00163407,916
69,0.00638274,1097
70,-0.00197155,185
71,-0.0117724,366
72,-0.00173358,185
73,0.0013502,185
74,-0.00460904,185
75,-0.00682856,185
76,0.00575078,185
77,0.00237728,185
78,0.00210222,185
79,0.0021751,185
80,0.0250277,1097
81,-0.0147217,185
82,-0.00359564,185
83,0.000385447,1097
84,0.00200029,185
85,-0.00249988,185
86,-0.00137231,185
87,0.00160261,185
88,-0.00190925,185
89,0.00195713,185
90,-0.000748439,185
91,0.00283899,185
92,0.00158282,185
93,-0.000771137,185
94,-0.000459587,185
95,0.00062317,185
96,0.00471064,185
97,-0.00281482,185
98,-0.00398273,185
99,-0.00047504,185
100,0.000285098,732
101,-0.00656797,916
102,-0.00268236,185
103,-0.00406659,185
104,-0.000231745,185
105,0.000901583,185
106,0.000908433,185
107,0.0174609,916
108,0.00067425,185
109,-0.00195042,185
110,-0.0032122,1097
111,-0.00679013,916
112,-0.00754136,1097
113,4.87045e-05,185
114,0.00184058,185
115,-0.000211544,185
116,0.00355614,185
117,-0.000480409,185
118,-0.0129172,1097
119,-0.00364944,366
120,-0.00246262,185
121,-0.00325765,185
122,0.00227979,366
123,-3.13011e-05,185
124,-0.0353714,1097
125,-0.00139589,550
126,0.01749,916
127,-0.00293436,1097
128,0.00966979,1097
129,0.0168811,1097
130,0.000140856,550
131,-0.00050371,185
132,-0.00025901,185
133,-0.00067019,185
134,-0.000292122,185
135,-0.000497113,185
136,0.00913783,185
137,-0.00455338,366
138,-0.00226092,550
139,0.00799675,185
140,0.00224931,185
141,0.00114191,550
142,-0.00359895,185
143,0.00254498,185
144,0.00409638,185
145,-0.000214302,185
146,-0.00208814,185
147,-4.72082e-05,185
148,0.00175088,185
149,-0.000182049,185
150,0.000995127,185
151,-0.000114813,185
152,0.00334354,185
153,-1.2574e-05,185
154,0.00154548,185
155,0.000315492,185
156,0.00345612,366
157,-0.00497102,185
158,0.00248676,185
159,-0.0184646,550
160,0.0202653,1097
161,-0.00109145,185
162,0.000677639,185
163,0.00524991,732
164,-0.00140639,185
165,0.0034722,366
166,-0.00439844,185
167,0.000488964,550
168,0.000961298,550
169,-0.00363087,185
170,0.0464665,1097
171,0.00736209,185
172,-0.00275192,185
173,-0.000685923,185
174,0.00059797,185
175,-0.000299087,185
176,0.00942055,185
177,0.000865303,185
178,-0.00852179,185
179,-0.000752105,185
180,0.000511597,185
181,-1.10611e-05,1097
182,-0.000613276,185
183,-0.00302757,185
184,0.00785694,1097
185,-0.00238688,185
186,-0.00368667,185
187,-0.000874755,185
188,0.00145524,185
189,0.00399004,185
190,-0.00992168,550
191,-0.00235449,1097
192,0.00115361,1097
193,0.00943743,366
194,-0.00655257,550
195,0.0155228,1097
196,-0.00320908,185
197,-0.322495,1097
198,0.00682775,185
199,0.00222793,185
200,-0.00225403,185
201,-0.000572194,185
202,-0.0024228,185
203,-0.0118927,185
204,0.00453289,732
205,0.000515328,185
206,0.00067913,185
207,0.000650807,185
208,-0.00295393,185
209,-0.000326557,185
210,-0.00122933,185
211,-0.0030137,185
212,-0.0163501,1097
213,0.000260171,185
214,-0.000108992,185
215,0.0805812,1097
216,-0.00782064,366
217,0.00177333,185
218,-0.00498477,185
219,-0.00497386,185
220,-0.00282111,366
221,0.000545936,185
222,0.00132775,550
223,-0.013526,185
224,0.000714984,185
225,-0.000381375,185
226,-0.00137424,185
227,0.00500501,1097
228,-0.0118745,550
229,0.000771245,185
230,0.000430308,732
231,-0.00263118,185
232,-0.00124711,185
233,-0.00329478,366
234,0.000441579,185
235,-0.000259374,366
236,0.000183568,185
237,0.00317681,185
238,-0.00166816,185
239,-0.000917462,185
240,0.00104436,185
241,-0.00117401,1097
242,0.00394884,1097
243,0.00172622,366
244,-0.00194345,185
245,-0.00700892,1097
246,0.00113181,185
247,-0.000237259,185
248,0.00308867,185
249,-0.00565106,916
250,9.50641e-05,185
251,-0.000324898,185
252,-0.0104393,185
253,-0.000501156,185
254,0.00585106,185
255,0.00398763,732
256,-0.00547273,185
257,0.000395947,185
258,0.000591227,185
259,0.00381471,185
260,-0.00185231,185
261,-0.00682786,1097
262,-0.00118035,185
263,-0.000273242,916
264,0.000489894,185
265,0.00121937,185
266,-0.00602436,366
267,0.00172254,1097
268,-0.00103953,185
269,-0.00130157,185
270,-0.00289547,185
271,0.00115283,366
272,0.000164322,1097
273,0.00017777,185
274,-0.01844,550
275,-0.00221768,185
276,0.015553,366
277,-0.00233837,185
278,-0.00259886,185
279,-0.0108552,185
280,0.000169165,366
281,0.00155511,185
282,0.000599479,185
283,0.00166892,185
284,-0.00126257,185
285,-0.00704544,185
286,-0.000144642,185
287,0.000606286,185
288,-0.00116456,185
289,-0.00103222,185
290,0.000897975,185
291,-0.00613443,1097
292,-0.00169562,185
293,-0.00166275,185
294,-0.00112302,185
295,0.000311356,185
296,-5.89002e-05,185
297,-0.00149127,185
298,0.00187035,185
299,0.000187172,366
300,0.00127088,185
301,0.00995382,185
302,0.0107287,1097
303,0.00644759,185
304,0.000354387,185
305,0.000771708,185
306,0.000568669,366
307,-0.0208603,1097
308,0.00310018,185
309,0.00410902,1097
310,0.0048872,185
311,0.00535533,185
312,0.00170168,185
313,0.00545208,185
314,5.07328e-05,185
315,-0.00107118,185
316,0.00126834,185
317,0.0134836,1097
318,0.00578261,185
319,-0.00253324,185
320,0.00564593,916
321,-0.0049,550
322,-0.00866049,732
323,0.0040426,185
324,-0.00714669,185
325,0.00944845,550
326,-1.87442e-05,185
327,-0.00297944,185
328,-0.00232712,185
329,-0.00130561,185
330,0.00125519,185
331,-0.000719668,185
332,0.00147662,185
333,-0.00043807,916
334,-9.84212e-05,366
335,-0.00403952,185
336,-0.00108626,185
337,-0.00254993,185
338,0.00158972,185
339,0.00314145,732
340,-0.00367896,185
341,-0.00505847,185
342,-0.00393257,185
343,-0.00113572,185
344,0.011143,366
345,0.0012417,185
346,-0.000874346,185
347,0.00354547,185
348,-0.00162757,185
349,0.00565565,185
350,0.0040951,185
351,-0.0003431,185
352,-0.00371002,1097
353,-0.000607741,185
354,0.000356548,185
355,0.00400188,550
356,-0.00150775,185
357,-0.000581046,185
358,0.00104412,185
359,-0.000634578,185
360,-0.000945164,185
361,-0.00127339,185
362,-0.00370446,185
363,-0.00310758,185
364,-0.114826,1097
365,-0.00232898,185
366,0.00028758,185
367,-0.0133058,185
368,0.00543682,185
369,0.00322849,185
370,-0.000782595,185
371,0.00117602,1097
372,-0.00222618,550
373,-0.00720343,366
374,0.00124742,185
375,0.00206078,185
376,-0.000221314,185
377,-0.00207926,1097
378,-0.00186766,185
379,-0.00580917,1097
380,-0.00260592,550
381,-0.00738251,185
382,-0.0078955,1097
383,-0.000927902,185
384,-0.000759026,185
385,-0.000316879,185
386,-0.000931173,185
387,0.019451,916
388,0.00065781,185
389,0.00311862,366
390,-0.000771276,185
391,0.000587655,185
392,-0.00456634,185
393,-0.000857055,185
394,-0.00313838,185
395,-0.00257705,185
396,-4.77282e-05,185
397,-0.000239265,185
398,0.00256844,185
399,0.0027499,550
400,-0.0261421,1097
401,0.00153488,732
402,0.000825925,185
403,5.67107e-05,185
404,0.0104062,185
405,0.00042089,185
406,-0.00509195,185
407,-0.000566182,185
408,-0.00394046,185
409,0.00179808,185
410,0.000859236,185
411,-0.00199813,185
412,-0.00176739,185
413,0.0011484,185
414,-6.64519e-05,185
415,0.000870546,185
416,0.00700614,366
417,-0.00629785,1097
418,-0.00358345,185
419,0.00104164,185
420,-0.00700337,185
421,0.0164625,1097
422,-0.00020764,185
423,0.00617138,732
424,-0.00713657,1097
425,-0.00424668,185
426,0.00191196,185
427,-0.00308735,550
428,0.0034394,185
429,-0.00126221,185
430,-0.00107829,185
431,-0.0106724,550
432,-0.00186034,185
433,-0.000833845,185
434,-0.00102972,185
435,-0.0030178,185
436,0.00415976,185
437,0.000501931,366
438,0.00332914,366
439,3.92486e-05,185
440,-0.00236809,185
441,-0.00940734,1097
442,-0.00045436,185
443,-0.00293948,185
444,-0.00410332,550
445,-0.00185983,185
446,0.00271649,185
447,0.00558426,366
448,0.00156712,185
449,-0.000245285,185
450,0.000373742,185
451,-0.00350651,1097
452,-0.00311277,185
