tau,s_tmp,cash,delta,pv,r,q,PL,cash,asset,debt,PL,,,,,
0,297.22,0.577136,0.00138143,0.987724,,,0.0000%,,,,,,,,,
1,294.98,0.524263,0.00156076,0.984659,0.0179022,0,-0.0001%,0.5242655,0.460392985,-0.984659,0.0000%,,,,,
2,295.856,0.553243,0.0014629,0.986166,0.0179066,0,-0.0115%,0.5532412,0.432807742,-0.986166,-0.0117%,,,,,
3,294.573,0.526743,0.00155295,0.984439,0.0179111,0,-0.0238%,0.5267439,0.45745714,-0.984439,-0.0238%,,,,,
4,295.735,0.555722,0.00145505,0.98638,0.0179155,0,-0.0349%,0.5557213,0.430309212,-0.98638,-0.0349%,,,,,
5,291.233,0.470363,0.00174824,0.979385,0.0179199,0,0.0123%,0.4703627,0.50914518,-0.979385,0.0123%,,,,,
6,294.476,0.531428,0.00154095,0.984887,0.0179244,0,0.0313%,0.5314280,0.453772792,-0.984887,0.0314%,,,,,
7,293.163,0.503625,0.00163588,0.983026,0.0179288,0,0.0177%,0.5036241,0.479579488,-0.983026,0.0178%,,,,,
8,297.255,0.588581,0.00135016,0.989268,0.0179332,0,0.0655%,0.5885814,0.401341811,-0.989268,0.0655%,,,,,
9,292.396,0.507494,0.00162758,0.982187,0.0179377,0,0.1203%,0.5074934,0.475897882,-0.982187,0.1204%,,,,,
10,292.806,0.508754,0.00162336,0.983076,0.0179421,0,0.1007%,0.5087546,0.475329548,-0.983076,0.1008%,,,,,
11,291.625,0.479579,0.00172349,0.981314,0.0179465,0,0.0877%,0.4795786,0.502612771,-0.981314,0.0877%,,,,,
12,295.366,0.568562,0.0014223,0.987383,0.017951,0,0.1279%,0.5685639,0.420099062,-0.987383,0.1280%,,,,,
13,293.48,0.513381,0.00161042,0.984744,0.0179554,0,0.1264%,0.5133805,0.472626062,-0.984744,0.1263%,,,,,
14,294.869,0.543841,0.00150721,0.987047,0.0179598,0,0.1223%,0.5438397,0.444429505,-0.987047,0.1222%,,,,,
15,292.753,0.516246,0.00160156,0.984021,0.0179643,0,0.1086%,0.5162465,0.468861495,-0.984021,0.1087%,,,,,
16,293.219,0.517592,0.00159706,0.984948,0.0179687,0,0.0931%,0.5175909,0.468288336,-0.984948,0.0931%,,,,,
17,294.589,0.548005,0.0014939,0.987231,0.0179731,0,0.0861%,0.5480073,0.440086507,-0.987231,0.0863%,,,,,
18,297.611,0.603174,0.00130862,0.991582,0.0179776,0,0.1052%,0.6031734,0.389459707,-0.991582,0.1051%,,,,,
19,300.339,0.652675,0.0011439,0.995067,0.017982,0,0.1167%,0.6526756,0.343557782,-0.995067,0.1166%,,,,,
20,295.303,0.580767,0.00138752,0.988846,0.0179864,0,0.1659%,0.5807654,0.409738819,-0.988846,0.1658%,,,,,
21,294.32,0.55485,0.00147567,0.987636,0.0179909,0,0.1534%,0.5548513,0.434319194,-0.987636,0.1535%,,,,,
22,291.554,0.497356,0.00167296,0.983519,0.0179953,0,0.1597%,0.4973567,0.48775818,-0.983519,0.1596%,,,,,
23,288.394,0.456973,0.00181307,0.978236,0.0179997,0,0.1617%,0.4569736,0.52287851,-0.978236,0.1616%,,,,,
24,293.325,0.531386,0.00155947,0.986735,0.0180042,0,0.2081%,0.5313828,0.457431538,-0.986735,0.2079%,,,,,
25,292.608,0.532819,0.00155466,0.985843,0.0180086,0,0.1881%,0.5328197,0.454905953,-0.985843,0.1883%,,,,,
26,290.276,0.480317,0.00173562,0.982211,0.018013,0,0.1914%,0.4803170,0.503808831,-0.982211,0.1915%,,,,,
27,288.736,0.46427,0.00179128,0.979747,0.0180175,0,0.1729%,0.4642697,0.517207022,-0.979747,0.1730%,,,,,
28,286.501,0.448334,0.00184744,0.976055,0.0180219,0.0933255,0.1572%,0.4483343,0.529293407,-0.976055,0.1573%,,,,,
29,285.794,0.431365,0.00190739,0.975117,0.0180263,0.0999914,0.1370%,0.4313675,0.545120618,-0.975117,0.1371%,,,,,
30,285.977,0.434259,0.00189791,0.975859,0.0180307,0.106657,0.1158%,0.4342568,0.542758608,-0.975859,0.1156%,,,,,
31,277.69,0.324469,0.00229394,0.959106,0.0180352,0.113323,0.2369%,0.3244705,0.637004199,-0.959106,0.2369%,,,,,
32,277.644,0.327064,0.00228541,0.959497,0.0180396,0.119989,0.2097%,0.3270627,0.634530374,-0.959497,0.2096%,,,,,
33,276.335,0.304043,0.00236957,0.956962,0.018044,0.126655,0.1875%,0.3040430,0.654795126,-0.956962,0.1876%,,,,,
34,276.605,0.306759,0.00236067,0.958132,0.0180485,0.133321,0.1600%,0.3067593,0.652973125,-0.958132,0.1600%,,,,,
35,278.535,0.334558,0.00226094,0.962834,0.0180529,0.00388886,0.1476%,0.3345595,0.629750923,-0.962834,0.1476%,,,,,
36,279.104,0.361532,0.00216438,0.964388,0.0180573,0.00277777,0.1231%,0.3615296,0.604087116,-0.964388,0.1229%,,,,,
37,279.382,0.363272,0.00215822,0.965292,0.0180618,0.00166668,0.0948%,0.3632736,0.60296782,-0.965292,0.0949%,,,,,
38,278.727,0.365053,0.0021519,0.964143,0.0180662,0.000555594,0.0702%,0.3650525,0.599792631,-0.964143,0.0702%,,,,,
39,277.761,0.341399,0.00223712,0.962308,0.0180706,-0.000555494,0.0477%,0.3413994,0.621384688,-0.962308,0.0476%,,,,,
40,272.855,0.281018,0.00245847,0.950934,0.0180751,-0.00166658,0.0889%,0.2810167,0.670805832,-0.950934,0.0888%,,,,,
41,269.029,0.234161,0.00263267,0.94151,0.0180795,-0.00277767,0.0915%,0.2341620,0.708264577,-0.94151,0.0917%,,,,,
42,271.56,0.268976,0.00250448,0.948365,0.0180839,-0.00388876,0.0728%,0.2689763,0.680116589,-0.948365,0.0728%,,,,,
43,276.146,0.324191,0.0023046,0.959834,0.0180884,0.00198468,0.0761%,0.3241892,0.636406072,-0.959834,0.0761%,,,,,
44,273.294,0.290146,0.00242923,0.953368,0.0180928,0.00119107,0.0673%,0.2901485,0.663893984,-0.953368,0.0674%,,,,,
45,275.002,0.310284,0.00235606,0.957805,0.0180972,0.000397466,0.0400%,0.3102830,0.647921212,-0.957805,0.0399%,,,,,
46,272.203,0.275842,0.00248265,0.951256,0.0181017,-0.000396141,0.0370%,0.2758405,0.675784778,-0.951256,0.0369%,,,,,
47,272.97,0.293858,0.00241669,0.95334,0.0181061,-0.00118975,0.0202%,0.2938586,0.659683869,-0.95334,0.0202%,,,,,
48,272.979,0.294194,0.0024155,0.953565,0.0181105,-0.00198335,0.0009%,0.2941938,0.659380775,-0.953565,0.0010%,,,,,
49,275.902,0.333218,0.00227409,0.9607,0.018115,-0.00277696,-0.0056%,0.3332188,0.627425979,-0.9607,-0.0055%,,,,,
50,277.259,0.358529,0.00218288,0.963977,0.0181194,0.0024998,-0.0226%,0.3585277,0.605223126,-0.963977,-0.0226%,,,,,
51,279.136,0.383334,0.00209409,0.96825,0.0181238,0.00194425,-0.0381%,0.3833345,0.584535906,-0.96825,-0.0380%,,,,,
52,276.921,0.334822,0.00226935,0.963636,0.0181283,0.00138871,-0.0384%,0.3348221,0.628430671,-0.963636,-0.0383%,,,,,
53,275.579,0.313973,0.00234507,0.960782,0.0181327,0.000833159,-0.0558%,0.3139732,0.646252046,-0.960782,-0.0557%,,,,,
54,278.541,0.36108,0.00217601,0.967585,0.0181371,0.000277612,-0.0399%,0.3610792,0.606108001,-0.967585,-0.0398%,,,,,
55,279.091,0.386022,0.0020867,0.968958,0.0181416,-0.000277935,-0.0557%,0.3860231,0.58237919,-0.968958,-0.0556%,,,,,
56,276.863,0.337179,0.00226318,0.964323,0.018146,-0.000833482,-0.0554%,0.3371791,0.626590804,-0.964323,-0.0553%,,,,,
57,276.345,0.337611,0.00226167,0.963372,0.0181504,-0.00138903,-0.0760%,0.3376107,0.625001196,-0.963372,-0.0760%,,,,,
58,285.791,0.481733,0.00175742,0.982358,0.0181548,-0.00194458,0.1631%,0.4817345,0.502254819,-0.982358,0.1631%,,,,,
59,286.581,0.503594,0.00168121,0.983899,0.0181593,-0.00250012,0.1499%,0.5035939,0.481802843,-0.983899,0.1498%,,,,,
60,284.553,0.461425,0.00182952,0.980555,0.0181637,0.00453701,0.1465%,0.4614230,0.520595405,-0.980555,0.1463%,,,,,
61,281.407,0.416328,0.00198987,0.974858,0.0181681,0.00423455,0.1434%,0.4163303,0.559963347,-0.974858,0.1436%,,,,,
62,279.09,0.393004,0.00207354,0.970379,0.0181726,0.00393208,0.1330%,0.3930033,0.578704279,-0.970379,0.1329%,,,,,
63,277.798,0.368919,0.00216033,0.967846,0.018177,0.00362962,0.1209%,0.3689192,0.600135353,-0.967846,0.1209%,,,,,
64,280.379,0.418537,0.00198345,0.973434,0.0181814,0.00332716,0.1221%,0.4185363,0.556117728,-0.973434,0.1220%,,,,,
65,280.129,0.39499,0.0020676,0.973134,0.0181859,0.0030247,0.1050%,0.3949896,0.57919472,-0.973134,0.1050%,,,,,
66,278.906,0.395559,0.00206564,0.970826,0.0181903,0.00272223,0.0853%,0.3955606,0.57611939,-0.970826,0.0854%,,,,,
67,283.171,0.467247,0.00181256,0.979429,0.0181947,0.00241977,0.1084%,0.4672475,0.513264428,-0.979429,0.1083%,,,,,
68,280.506,0.421711,0.00197499,0.974515,0.0181992,0.00211731,0.1194%,0.4217107,0.553996545,-0.974515,0.1192%,,,,,
69,280.205,0.422322,0.0019729,0.974114,0.0182036,0.00181484,0.1025%,0.4223204,0.552816445,-0.974114,0.1023%,,,,,
70,282.563,0.446751,0.00188653,0.978906,0.018208,0.00151238,0.0907%,0.4467503,0.533063576,-0.978906,0.0908%,,,,,
71,283.299,0.47051,0.00180274,0.980464,0.0182125,0.00120992,0.0762%,0.4705127,0.510714439,-0.980464,0.0763%,,,,,
72,278.779,0.400414,0.00205427,0.971813,0.0182169,0.000907454,0.1290%,0.4004135,0.572687336,-0.971813,0.1288%,,,,,
73,281.511,0.425721,0.00196445,0.977506,0.0182213,0.000604991,0.1230%,0.4257203,0.553014284,-0.977506,0.1229%,,,,,
74,277.999,0.376432,0.00214183,0.970597,0.0182258,0.000302528,0.1262%,0.3764312,0.595426598,-0.970597,0.1261%,,,,,
75,272.449,0.293177,0.00244748,0.958073,0.0182302,6.45E-08,0.1917%,0.2931768,0.666813479,-0.958073,0.1917%,,,,,
76,272.799,0.311642,0.00237984,0.959131,0.0182346,-0.000302399,0.1729%,0.3116432,0.649217972,-0.959131,0.1730%,,,,,
77,274.979,0.329989,0.00231317,0.96451,0.0182391,-0.000604862,0.1553%,0.3299893,0.636073173,-0.96451,0.1553%,,,,,
78,276.626,0.352972,0.00223014,0.968466,0.0182435,-0.000907325,0.1422%,0.3529722,0.616914708,-0.968466,0.1421%,,,,,
79,274.645,0.331427,0.00230865,0.964178,0.0182479,-0.00120979,0.1308%,0.3314252,0.634059179,-0.964178,0.1306%,,,,,
80,276.339,0.354459,0.00222535,0.968273,0.0182524,-0.00151225,0.1138%,0.3544600,0.614950994,-0.968273,0.1138%,,,,,
81,279.072,0.408076,0.00203328,0.974329,0.0182568,-0.00181471,0.1178%,0.4080750,0.567431516,-0.974329,0.1178%,,,,,
82,276.734,0.356276,0.00222052,0.969577,0.0182612,-0.00211718,0.1194%,0.3562775,0.614493382,-0.969577,0.1194%,,,,,
83,281.098,0.435665,0.00193815,0.978779,0.0182657,-0.00241964,0.1695%,0.4356633,0.544810089,-0.978779,0.1694%,,,,,
84,277.775,0.385534,0.00211868,0.972268,0.0182701,-0.0027221,0.1784%,0.3855361,0.588516337,-0.972268,0.1784%,,,,,
85,280.17,0.437686,0.00193259,0.977378,0.0182745,-0.00302457,0.1763%,0.4376852,0.54145374,-0.977378,0.1761%,,,,,
86,279.851,0.413273,0.00201989,0.976957,0.0182789,-0.00332703,0.1584%,0.4132720,0.565268236,-0.976957,0.1583%,,,,,
87,281.612,0.439441,0.00192702,0.980572,0.0182834,-0.00362949,0.1541%,0.4394414,0.542671956,-0.980572,0.1541%,,,,,
88,277.055,0.362212,0.00220583,0.971576,0.0182878,-0.00393196,0.1772%,0.3622116,0.611136231,-0.971576,0.1772%,,,,,
89,279.695,0.416489,0.00201181,0.977278,0.0182922,-0.00423442,0.1904%,0.4164894,0.562693198,-0.977278,0.1905%,,,,,
90,280.585,0.442642,0.00191865,0.979234,0.0182967,-0.00453688,0.1752%,0.4426422,0.53834441,-0.979234,0.1753%,,,,,
91,283.134,0.491777,0.0017452,0.98418,0.0183011,0.00211756,0.1722%,0.4917769,0.494125457,-0.98418,0.1722%,,,,,
92,284.946,0.515517,0.00166198,0.987529,0.0173885,0.00196633,0.1562%,0.5155163,0.473574553,-0.987529,0.1562%,,,,,
93,287.475,0.538499,0.00158213,0.991807,0.0173732,0.00181511,0.1514%,0.5384988,0.454822822,-0.991807,0.1515%,,,,,
94,288.092,0.560568,0.00150562,0.992952,0.0173578,0.00166389,0.1373%,0.5605686,0.433757077,-0.992952,0.1374%,,,,,
95,290.471,0.581859,0.00143242,0.9966,0.0173425,0.00151266,0.1335%,0.5818589,0.41607647,-0.9966,0.1335%,,,,,
96,288.753,0.562733,0.00149876,0.994316,0.0173271,0.00136144,0.1188%,0.5627323,0.432771446,-0.994316,0.1188%,,,,,
97,289.778,0.583991,0.0014255,0.996001,0.0173118,0.00121022,0.1067%,0.5839903,0.413078539,-0.996001,0.1068%,,,,,
98,291.311,0.60933,0.00133861,0.998311,0.0172964,0.00105899,0.0971%,0.6093319,0.389951818,-0.998311,0.0973%,,,,,
99,290.803,0.610376,0.00133512,0.99779,0.0172811,0.000907772,0.0841%,0.6103747,0.388256901,-0.99779,0.0842%,,,,,
100,294.285,0.666477,0.00114458,1.00234,0.0172658,0.000756548,0.0973%,0.6664788,0.336832725,-1.00234,0.0971%,,,,,
101,293.59,0.667545,0.00114105,1.00169,0.0172504,0.000605325,0.0861%,0.6675454,0.33500087,-1.00169,0.0856%,,,,,
102,296.739,0.718146,0.000970637,1.00527,0.0172351,0.000454102,0.0897%,0.7181451,0.288025853,-1.00527,0.0901%,,,,,
103,297.972,0.741936,0.000890913,1.00662,0.0172197,0.000302879,0.0786%,0.7419356,0.265467128,-1.00662,0.0783%,,,,,
104,299.445,0.743029,0.000887381,1.00808,0.0172044,0.000151655,0.0671%,0.7430287,0.265721804,-1.00808,0.0671%,,,,,
105,301.043,0.785814,0.000745373,1.00952,0.017189,4.32E-07,0.0679%,0.7858145,0.224389324,-1.00952,0.0684%,,,,,
106,299.425,0.745446,0.000880314,1.00836,0.0171737,-0.000150791,0.0671%,0.7454462,0.263588019,-1.00836,0.0674%,,,,,
107,298.491,0.746536,0.00087678,1.00771,0.0171584,-0.000302015,0.0534%,0.7465357,0.261710939,-1.00771,0.0537%,,,,,
108,296.947,0.724994,0.00094944,1.00644,0.017143,-0.000453238,0.0488%,0.7249946,0.28193336,-1.00644,0.0488%,,,,,
109,294.464,0.676902,0.00111288,1.00405,0.0171277,-0.000604461,0.0558%,0.6769004,0.327703096,-1.00405,0.0553%,,,,,
110,296.177,0.703427,0.00102342,1.006,0.0171123,-0.000755684,0.0540%,0.7034290,0.303113465,-1.006,0.0543%,,,,,
111,296.311,0.704495,0.00101993,1.00629,0.017097,-0.000906908,0.0417%,0.7044933,0.302216478,-1.00629,0.0420%,,,,,
112,297.568,0.729682,0.000935391,1.00765,0.0170816,-0.00105813,0.0372%,0.7296832,0.278342429,-1.00765,0.0376%,,,,,
113,297.175,0.730751,0.000931905,1.00745,0.0170663,-0.00120935,0.0236%,0.7307511,0.276938868,-1.00745,0.0240%,,,,,
114,296.134,0.707794,0.00100954,1.0066,0.017051,-0.00136058,0.0149%,0.7077937,0.298959118,-1.0066,0.0153%,,,,,
115,301.418,0.798159,0.000709845,1.01125,0.0170356,-0.0015118,0.0874%,0.7981592,0.21396006,-1.01125,0.0869%,,,,,
116,301.88,0.799291,0.000706217,1.01172,0.0170203,-0.00166302,0.0768%,0.7992905,0.213192788,-1.01172,0.0763%,,,,,
117,303.719,0.819437,0.000640004,1.01306,0.0170049,-0.00181425,0.0762%,0.8194373,0.194381375,-1.01306,0.0759%,,,,,
118,302.726,0.820605,0.000636269,1.01256,0.0169896,-0.00196547,0.0658%,0.8206048,0.192615169,-1.01256,0.0660%,,,,,
119,300.421,0.782722,0.000762492,1.01109,0.0169742,-0.00211669,0.0700%,0.7827220,0.229068609,-1.01109,0.0701%,,,,,
120,299.083,0.762227,0.000831137,1.01019,0.0169589,-0.00226792,0.0614%,0.7622264,0.248578947,-1.01019,0.0615%,,,,,
121,300.592,0.78695,0.000749357,1.0116,0.0169436,0.154889,0.0597%,0.7869508,0.225250719,-1.0116,0.0602%,,,,,
122,298.831,0.768426,0.000811792,1.01051,0.0169282,0.157317,0.0505%,0.7684255,0.242588615,-1.01051,0.0504%,,,,,
123,299.478,0.793035,0.000730092,1.01126,0.0169129,0.159744,0.0418%,0.7930354,0.218646492,-1.01126,0.0422%,,,,,
124,300.602,0.796116,0.000720291,1.01234,0.0168975,0.162172,0.0299%,0.7961154,0.216520915,-1.01234,0.0296%,,,,,
125,297.009,0.755274,0.000858249,1.00979,0.0168822,0.164599,0.0393%,0.7552746,0.254907677,-1.00979,0.0392%,,,,,
126,297.979,0.781224,0.000771673,1.01087,0.0168668,0.167027,0.0298%,0.7812238,0.229942349,-1.01087,0.0296%,,,,,
127,297.504,0.761816,0.000837388,1.01076,0.0168515,0.169455,0.0184%,0.7618162,0.24912628,-1.01076,0.0182%,,,,,
128,296.368,0.74119,0.000907498,1.01007,0.0168362,0.171882,0.0073%,0.7411897,0.268953367,-1.01007,0.0073%,,,,,
129,296.126,0.744586,0.000896579,1.01015,0.0168208,0.17431,-0.0063%,0.7445859,0.265500353,-1.01015,-0.0064%,,,,,
130,296.994,0.771882,0.000805222,1.01117,0.0168055,0.176737,-0.0142%,0.7718817,0.239146103,-1.01117,-0.0142%,,,,,
131,297.107,0.775277,0.00079431,1.01154,0.0167901,0.179165,-0.0271%,0.7752770,0.235995061,-1.01154,-0.0268%,,,,,
132,295.113,0.755129,0.000863096,1.01013,0.0167748,0.181593,-0.0290%,0.7551296,0.25471085,-1.01013,-0.0290%,,,,,
133,296.214,0.758644,0.000851781,1.01137,0.0167595,0.18402,-0.0419%,0.7586443,0.252309457,-1.01137,-0.0416%,,,,,
134,297.86,0.785741,0.000761364,1.01293,0.0167441,0.186448,-0.0406%,0.7857400,0.226779881,-1.01293,-0.0410%,,,,,
135,297.592,0.789146,0.000750435,1.013,0.0167288,0.188876,-0.0534%,0.7891467,0.223323453,-1.013,-0.0530%,,,,,
136,294.661,0.744887,0.000901154,1.01094,0.0167134,0.191303,-0.0513%,0.7448871,0.265534939,-1.01094,-0.0518%,,,,,
137,292.51,0.722764,0.00097738,1.00924,0.0166981,0.193731,-0.0581%,0.7227642,0.285893424,-1.00924,-0.0582%,,,,,
138,291.168,0.699703,0.00105722,1.00819,0.0166827,0.196158,-0.0660%,0.6997032,0.307828633,-1.00819,-0.0658%,,,,,
139,289.732,0.678636,0.00113062,1.00695,0.0166674,0.198586,-0.0741%,0.6786353,0.327576794,-1.00695,-0.0738%,,,,,
140,289.651,0.681809,0.0011204,1.00721,0.0166521,0.201014,-0.0878%,0.6818076,0.32452498,-1.00721,-0.0877%,,,,,
141,287.887,0.662679,0.00118758,1.00551,0.0166367,0.203441,-0.0938%,0.6626797,0.341888843,-1.00551,-0.0941%,,,,,
142,285.951,0.618669,0.00134226,1.00345,0.0166214,0.205869,-0.0960%,0.6186699,0.383820589,-1.00345,-0.0960%,,,,,
143,284.958,0.621701,0.00133248,1.00253,0.016606,0.208297,-0.1127%,0.6217024,0.379700836,-1.00253,-0.1127%,,,,,
144,288.29,0.672682,0.00115651,1.00711,0.0165907,0.210724,-0.1015%,0.6726815,0.333410268,-1.00711,-0.1018%,,,,,
145,287.452,0.65239,0.00122789,1.00649,0.0165753,0.213152,-0.1137%,0.6523884,0.352959436,-1.00649,-0.1142%,,,,,
146,287.285,0.655605,0.00121752,1.00667,0.01656,0.215579,-0.1290%,0.6556072,0.349775233,-1.00667,-0.1288%,,,,,
147,290.089,0.705945,0.00104482,1.01015,0.0165447,0.218007,-0.1118%,0.7059441,0.303090789,-1.01015,-0.1115%,,,,,
148,289.676,0.709447,0.00103348,1.01009,0.0165293,0.220435,-0.1271%,0.7094447,0.299374352,-1.01009,-0.1271%,,,,,
149,292.809,0.76653,0.000839266,1.01339,0.016514,0.222862,-0.1111%,0.7665315,0.245744638,-1.01339,-0.1114%,,,,,
150,289.677,0.717116,0.00101049,1.01081,0.0164986,0.22529,-0.0984%,0.7171151,0.292715712,-1.01081,-0.0979%,,,,,
151,288.451,0.694175,0.00109015,1.00971,0.0164833,0.00672301,-0.1085%,0.6941757,0.314454858,-1.00971,-0.1079%,,,,,
152,290.443,0.718522,0.00100645,1.01194,0.0164679,0.00624279,-0.1097%,0.7185218,0.292316357,-1.01194,-0.1102%,,,,,
153,290.342,0.719107,0.00100456,1.01202,0.0164526,0.00576258,-0.1249%,0.7191077,0.29166596,-1.01202,-0.1246%,,,,,
154,291.649,0.746278,0.000911524,1.01343,0.0164373,0.00528237,-0.1305%,0.7462775,0.265845063,-1.01343,-0.1307%,,,,,
155,289.558,0.72038,0.00100109,1.01162,0.0164219,0.00480216,-0.1369%,0.7203805,0.289873618,-1.01162,-0.1366%,,,,,
156,290.716,0.747791,0.000906927,1.01294,0.0164066,0.00432195,-0.1491%,0.7477905,0.26365819,-1.01294,-0.1491%,,,,,
157,289.169,0.721466,0.000998087,1.0116,0.0163912,0.00384174,-0.1514%,0.7214667,0.28861582,-1.0116,-0.1517%,,,,,
158,288.802,0.697246,0.00108207,1.0114,0.0163759,0.00336153,-0.1654%,0.6972466,0.31250398,-1.0114,-0.1649%,,,,,
159,285.156,0.647093,0.00125807,1.00737,0.0163605,0.00288132,-0.1536%,0.6470922,0.358746209,-1.00737,-0.1532%,,,,,
160,285.767,0.647009,0.00125847,1.00832,0.0163452,0.00240111,-0.1684%,0.6470100,0.359629196,-1.00832,-0.1681%,,,,,
161,287.408,0.672609,0.00116951,1.01046,0.0163299,0.0019209,-0.1720%,0.6726077,0.33612653,-1.01046,-0.1726%,,,,,
162,291.693,0.752481,0.000895796,1.01496,0.0163145,0.00144069,-0.1181%,0.7524809,0.261297423,-1.01496,-0.1182%,,,,,
163,293.364,0.784385,0.000787158,1.01649,0.0162992,0.00096048,-0.1182%,0.7843858,0.23092382,-1.01649,-0.1180%,,,,,
164,289.491,0.724857,0.000992912,1.01328,0.0162838,0.00048027,-0.0979%,0.7248564,0.287439088,-1.01328,-0.0985%,,,,,
165,290.274,0.724824,0.000993136,1.01424,0.0162685,5.96E-08,-0.1134%,0.7248243,0.288281559,-1.01424,-0.1134%,,,,,
166,288.565,0.698573,0.00108422,1.01271,0.0162532,-0.000480151,-0.1265%,0.6985722,0.312867944,-1.01271,-0.1270%,,,,,
167,289.633,0.724548,0.000994639,1.01401,0.0162378,-0.000960361,-0.1384%,0.7245489,0.288080277,-1.01401,-0.1381%,,,,,
168,291.699,0.754572,0.000891818,1.01614,0.0162225,-0.00144057,-0.1425%,0.7545718,0.260142419,-1.01614,-0.1426%,,,,,
169,292.406,0.788632,0.000775447,1.01693,0.0162071,-0.00192078,-0.1554%,0.7886317,0.226745355,-1.01693,-0.1553%,,,,,
170,292.104,0.788947,0.000774483,1.01688,0.0161918,-0.00240099,-0.1708%,0.7889471,0.226229582,-1.01688,-0.1703%,,,,,
171,293.554,0.824007,0.000655164,1.01821,0.0161764,-0.0028812,-0.1874%,0.8240067,0.192326013,-1.01821,-0.1877%,,,,,
172,295.566,0.85944,0.000535398,1.01969,0.0161611,-0.00336141,-0.2006%,0.8594405,0.158245445,-1.01969,-0.2004%,,,,,
173,294.877,0.825801,0.000649599,1.0195,0.0161458,-0.00384162,-0.2142%,0.8258011,0.191551804,-1.0195,-0.2147%,,,,,
174,295.182,0.863387,0.000522384,1.01989,0.0161304,-0.00432183,-0.2305%,0.8633868,0.154198354,-1.01989,-0.2305%,,,,,
175,292.401,0.788173,0.000779737,1.01821,0.0161151,-0.00480204,-0.2038%,0.7881728,0.227995879,-1.01821,-0.2041%,,,,,
176,293.603,0.82753,0.000645797,1.01934,0.0160997,-0.00528225,-0.2206%,0.8275296,0.189607937,-1.01934,-0.2202%,,,,,
177,293.606,0.827191,0.000647065,1.01959,0.0160844,-0.00576247,-0.2412%,0.8271912,0.189982166,-1.01959,-0.2417%,,,,,
178,293.532,0.826124,0.000650813,1.01978,0.016069,-0.00624268,-0.2621%,0.8261240,0.191034442,-1.01978,-0.2622%,,,,,
179,296.39,0.873879,0.0004898,1.02169,0.0160537,-0.00672289,-0.2636%,0.8738794,0.145171822,-1.02169,-0.2639%,,,,,
180,294.602,0.820247,0.000671987,1.02106,0.0160384,0.00514519,-0.2846%,0.8202468,0.197968714,-1.02106,-0.2845%,,,,,
181,290.896,0.725619,0.000997417,1.01819,0.016023,0.00480218,-0.2425%,0.7256193,0.290144616,-1.01819,-0.2426%,,,,,
182,291.626,0.718603,0.0010216,1.01914,0.0160077,0.00445917,-0.2610%,0.7186020,0.297925122,-1.01914,-0.2613%,,,,,
183,290.998,0.712175,0.00104381,1.01868,0.0163945,0.00411617,-0.2762%,0.7121756,0.303746622,-1.01868,-0.2758%,,,,,
184,288.592,0.671946,0.00118333,1.01614,0.0163836,0.00377316,-0.2699%,0.6719457,0.341499571,-1.01614,-0.2695%,,,,,
185,289.664,0.690458,0.00111954,1.01752,0.0163726,0.00343015,-0.2776%,0.6904570,0.324290435,-1.01752,-0.2773%,,,,,
186,286.114,0.655353,0.00124235,1.01341,0.0163616,0.00308714,-0.2607%,0.6553540,0.355453728,-1.01341,-0.2602%,,,,,
187,287.35,0.656144,0.00123971,1.0151,0.0163507,0.00274414,-0.2730%,0.6561436,0.356230669,-1.0151,-0.2726%,,,,,
188,287.797,0.67545,0.00117274,1.01579,0.0163397,0.00240113,-0.2832%,0.6754495,0.337511054,-1.01579,-0.2829%,,,,,
189,284.928,0.638637,0.00130205,1.01234,0.0163288,0.00205812,-0.2713%,0.6386381,0.370990502,-1.01234,-0.2711%,,,,,
190,279.979,0.554092,0.00160413,1.00536,0.0163178,0.00171511,-0.2146%,0.5540912,0.449122713,-1.00536,-0.2146%,,,,,
191,278.882,0.55481,0.00160164,1.00377,0.0163068,0.00137211,-0.2294%,0.5548129,0.446668566,-1.00377,-0.2289%,,,,,
192,275.891,0.507532,0.00177311,0.998815,0.0162959,0.0010291,-0.2099%,0.5075290,0.489185091,-0.998815,-0.2101%,,,,,
193,274.192,0.485819,0.00185238,0.995853,0.0162849,0.000686092,-0.2126%,0.4858204,0.507907777,-0.995853,-0.2125%,,,,,
194,271.712,0.445489,0.00200089,0.991206,0.016274,0.000343084,-0.2050%,0.4454892,0.543665824,-0.991206,-0.2051%,,,,,
195,270.119,0.424565,0.00207843,0.988116,0.016263,7.68E-08,-0.2129%,0.4245638,0.561423433,-0.988116,-0.2129%,,,,,
196,272.268,0.446862,0.0019966,0.992684,0.0162521,-0.000342931,-0.2212%,0.4468631,0.543610289,-0.992684,-0.2211%,,,,,
197,269.529,0.40365,0.00215699,0.987246,0.0162411,-0.000685938,-0.2223%,0.4036511,0.581371358,-0.987246,-0.2224%,,,,,
198,274.269,0.490339,0.00184098,0.996897,0.0162301,-0.00102895,-0.1634%,0.4903380,0.504923744,-0.996897,-0.1635%,,,,,
199,274.406,0.490982,0.00183871,0.997333,0.0162192,-0.00137195,-0.1798%,0.4909818,0.504553056,-0.997333,-0.1798%,,,,,
200,272.984,0.471312,0.00191084,0.994813,0.0162082,-0.00171496,-0.1873%,0.4713111,0.521628747,-0.994813,-0.1873%,,,,,
